, URL, Name, isSecure, Sport,
,1stdownboosters.com,Indiana First Down Football Boosters,false,Football,
,495baberuth.org,495 Babe Ruth,false,Baseball,
,495stars.com,495 Stars,false,Hockey,
,a2lax.com,a2lax,false,Lacrosse,
,aandbsports.com,Above & Beyond Sports LLC.,false,,
,abingtonlacrosseclub.com,Abington Lacrosse Club,false,Lacrosse,
,absoftball.com,Acton Boxborough Youth Softball,false,Softball,
,acmyc.org,Association of the Cotuit Mosquito Yacht Club, Inc.,false,,
,agawamhockey.com,Agawam Youth Hockey,false,,
,agcsc.org,Associated Glider Club Of Southern California,false,,
,akubisanaikkelas.blogspot.com,error opening web page,
,alamedaworldbaseball.com,Alameda World Tournament Baseball,false,Baseball,
,allcityurbanleague.org,Hope Online Learning Academy,false,,
,allnationsshowcase.com,All Nations Lacrosse,false,Lacrosse,
,allnationsshowcase.org,All Nations Lacrosse,false,Lacrosse,
,alohalacrosse.org,Aloha Lacrosse,false,Lacrosse,
,americanlacrosseacademy.com,American Lacrosse Academy,false,,
,amitygirlsyouthlacrosse.org,Amity Girls Youth Lacrosse Association,false,Lacrosse,
,aquastarz.com,Davis Aquastarz,false,,
,ardenlax.com,Arden Lacrosse- Arden Diamondbacks,false,Lacrosse,
,arnoldathletic.com,Arnold Athletic Association,false,,
,article-exchange.com,error opening web page,
,ashbeelax.org,Lower Merion Ashbee Lacrosse,false,Lacrosse,
,ashlandyouthhockey.org,Demons Youth Hockey,false,,
,aspmoorestown.com,ASP Moorestown,false,,
,assn.la,error opening web page,
,autositechecker.com,error opening web page,
,avalonlacrosse.com,Avalon Lacrosse,false,Lacrosse,
,avonctlittleleague.org,Avon Little League,false,,
,avonhighschoolboosterclub.com,Avon High School Booster Club,false,,
,avonhockey.com,error opening web page,
,avontravelbasketball.org,Avon Travel Basketball,false,Basketball,
,axisconditioningandhoops.com,AXIS Conditioning and Hoops,false,,
,azgla.com,Arizona Girls Lacrosse Association,false,Lacrosse,
,banjohnson.com,Ban Johnson League,false,,
,barlowlax.org,Barlow Lacrosse,false,,
,baseball.iscorecentral.com,error opening web page,
,basketballholyfamily.com,Holy Family Basketball,false,,
,basketballspecialists.net,error opening web page,
,bayshoreyouthlacrosse.com,error opening web page,
,bbpyouthlax.org,Bayport-Blue Point Youth Lax,false,,
,bcylax.com,Beach Cities Youth Lacrosse,false,Lacrosse,
,beachbuccaneers.org,error opening web page,
,beachbucs.com,Beach Buccaneers,false,,
,beachdogslax.com,Beach Dogs Lacrosse,false,Lacrosse,
,beachlax.net,Beach Lacrosse Club,false,Lacrosse,
,beavertonbeaverslacrosse.com,Beaverton Beavers Youth Lacrosse,false,Lacrosse,
,bedfordrecsoccer.net,error opening web page,
,beekmanathleticclub.com,Beekman Athletic Club,false,Baseball,
,belairboyslax.com,Bel Air Boys Recreational Lacrosse,false,Lacrosse,
,belairfootballclub.com,Bel Air FC,false,Soccer,
,belairjuniorwrestling.com,error opening web page,
,belairterps.com,Bel Air Terps Football and Cheerleading,false,,
,bellairelacrosse.com,Bellaire Women's Lacrosse Club,false,Lacrosse,
,bellevuelacrosse.com,Bellevue Lacrosse,false,Lacrosse,
,belmontyouthbasketball.com,Belmont Youth Basketball Association,false,,
,berkshirecountylacrosse.com,Berkshire County Youth Lacrosse,false,Lacrosse,
,besthostingprice.com,error opening web page,
,bethelsoccer.org,Bethel Youth Soccer Association,false,Soccer,
,bethlehemsteelers.com,Bethlehem Steelers Athletic Association,false,,
,bevgirlslax.com,Beverly Girls Youth Lacrosse,false,,
,bfljrpanthers.com,Bridgewater Football League,false,,
,bgcre.net,Jesse P. Sanford Boys & Girls Club of Redding - Easton,false,,
,bhamlax.com,error opening web page,
,blackdoglacrosse.com,error opening web page,
,blackwatchnywestsoccer.com,Black Watch NY West Soccer Club,false,Soccer,
,blueandgreylacrosse.com,Blue and Grey Lacrosse,false,,
,bluedevilbasketballcamp.net,Blue Devil Basketball Camp,false,Basketball,
,blueridgelax.org,Blue Ridge Lacrosse Club,false,Lacrosse,
,blueridgetitansfieldhockey.org,Blue Ridge Titans Field Hockey,false,,
,bluewavelacrosse.com,Blue Wave Lacrosse,false,,
,blulax.com,Bama Lacrosse United,false,,
,bnaibrithsports.ca,B'nai Brith Sports of Canada,false,Basketball,
,bnwarriors.org,Bloomington Normal Warriors Lacrosse,false,Lacrosse,
,borolax.com,error opening web page,
,borowrestlingsite.com,Springboro Amateur Wrestling,false,,
,bostonjunioreagles.com,Boston Junior Eagles,false,Hockey,
,bostonjuniorterriers.com,Boston Junior Terriers,false,,
,bouldergirlslacrosse.org,Warrior Girls Youth Lacrosse,false,Lacrosse,
,braintreelacrosse.net,BRAINTREE LACROSSE,false,Lacrosse,
,branfordyouthlax.com,Branford Youth Lacrosse,false,Lacrosse,
,braveheartlaxclub.com,Braveheart Lax Club Inc.,false,Lacrosse,
,brazilct.com,Brazil CT Soccer Teams,false,Soccer,
,brewsterlacrosse.com,Brewster Lacrosse,false,Lacrosse,
,bridgeportpremierfutebolclub.com,Bridgeport Premier Futebol Club,false,,
,bridgeslacrosse.com,Bridges Lacrosse,false,Lacrosse,
,brightonlax.com,error opening web page,
,bristolcrushvolleyball.com,Bristol Boys and Girls Club CRUSH Volleyball,false,,
,bristolctlacrosse.com,error opening web page,
,broadneckbaseballsoftball.org,error opening web page,
,browardlaxadvantage.com,error opening web page,
,brownsburgfootball.com,error opening web page,
,brycflagfootball.org,BRYC Flag Football,false,Football,
,bryclacrosse.com,error opening web page,
